month,review_date,ticker,market,name,theme,asset_type,price,price_date,probe_price,core_price,strong_price,distance_to_probe_pct,distance_to_core_pct,pct_1m,pct_3m,pct_6m,drawdown_1y_pct,up_from_low_1y_pct,current_decision,basis_status,basis_type,review_category,proposed_action,review_reason,suggested_probe_price,suggested_core_price,suggested_strong_price,auto_apply
2026-08,2026-08-28,AVAV,US,AeroVironment,防衛ドローン,stock,152.27999877929688,2026-08-27,150.0,130.0,110.0,1.4972411331584872,14.630942315404022,7.148891085826289,-28.970568024242677,-41.34504212182864,-62.84312915876759,11.413525709297055,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-62.84%。割安化か業績悪化か確認。,150.0,130.0,110.0,NO
2026-08,2026-08-28,RDW,US,Redwire,宇宙インフラ,stock,11.270000457763672,2026-08-27,16.0,13.0,10.0,-41.969825644309786,-15.350483336001702,44.85861380254762,-56.486484078167706,18.010473640592213,-56.486484078167706,122.72728429267286,本命買い,reviewed_v1_3_1,精査維持_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：本命買い,16.0,13.0,10.0,NO
2026-08,2026-08-28,VEEV,US,Veeva Systems,ライフサイエンスSaaS,stock,282.1300048828125,2026-08-27,165.0,145.0,127.5,41.51632327496129,48.60525378708719,35.69813857601763,71.63279991623354,54.28743516412378,-7.86689185613586,86.31051874040972,見送り,reviewed_v1_3_1,精査維持_v1.3.1,急騰後・基準上方修正禁止,原則維持,3か月騰落 +71.63%。現在値追随で基準を上げない。,165.0,145.0,127.5,NO
2026-08,2026-08-28,FICO,US,Fair Isaac,信用スコア・分析,stock,1157.06005859375,2026-08-27,1250.0,1100.0,950.0,-8.032421542508859,4.931469042592204,-15.732506800378477,-10.74546640839392,-16.664738308965106,-38.43951857971742,25.44424306069768,打診買い,reviewed_v1_3_1,精査維持_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：打診買い,1250.0,1100.0,950.0,NO
2026-08,2026-08-28,AAOI,US,Applied Optoelectronics,光通信・CPO周辺,stock,113.27999877929688,2026-08-27,55.0,42.0,32.0,51.447739589796115,62.92372841402612,48.03973307487246,-32.9783481742853,110.98901411210662,-49.224564912501,481.22113960803745,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,打診まであと51.45%下落。深すぎる可能性。ただし自動で基準を上げない。 / 1年高値から-49.22%。割安化か業績悪化か確認。,55.0,42.0,32.0,NO
2026-08,2026-08-28,OUST,US,Ouster,LiDAR・ロボティクス,stock,36.540000915527344,2026-08-27,20.0,15.0,11.0,45.26546387824205,58.94909790868154,16.741219828089992,-13.67824395244795,86.14367028888026,-41.5547014587556,119.72340805483806,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-41.55%。割安化か業績悪化か確認。,20.0,15.0,11.0,NO
2026-08,2026-08-28,ASPI,US,ASP Isotopes,核燃料・同位体,stock,4.039999961853027,2026-08-27,5.5,4.2,3.2,-36.1386151468505,-3.9603970212312967,14.124293937513857,-48.00514836846514,-28.62190687690187,-71.24555226328633,14.124293937513857,本命買い,reviewed_v1_3_1,精査維持_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：本命買い,5.5,4.2,3.2,NO
2026-08,2026-08-28,EWY,US,iShares MSCI South Korea ETF,韓国ETF・半導体,etf,182.13999938964844,2026-08-27,,,,,,26.301914506556855,-11.758153113640091,21.095668476160235,-16.906933428171723,153.25362072700324,基準未設定,scale_rebase_pending_v1_3_1,価格スケール確認待ち_v1.3.1,価格スケール確認待ち,要確認継続,価格スケール確認待ち。自動上書きしない。,,,,NO
2026-08,2026-08-28,ISRG,US,Intuitive Surgical,医療ロボット,stock,367.07000732421875,2026-08-27,430.0,380.0,340.0,-17.14386667941454,-3.522486832970989,3.9563865701570244,-13.351272786789448,-27.582464530420165,-38.083828550143956,10.55659884053053,本命買い,reviewed_v1_3_1,精査修正_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：本命買い,430.0,380.0,340.0,NO
2026-08,2026-08-28,IONQ,US,IonQ,量子コンピュータ,stock,42.459999084472656,2026-08-27,32.0,25.0,18.0,24.634948916656498,41.121053841137886,32.72897589329532,-39.463930062795114,3.8649656924538514,-48.27628093720085,59.68408740434026,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-48.28%。割安化か業績悪化か確認。,32.0,25.0,18.0,NO
2026-08,2026-08-28,RGTI,US,Rigetti,量子コンピュータ,stock,16.440000534057617,2026-08-27,10.0,7.0,5.0,39.172751367716266,57.420925957401394,24.35703632366494,-39.17868991331549,-11.802569354227396,-70.82002043036475,27.441868373719103,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-70.82%。割安化か業績悪化か確認。 / 超小型/高ボラ枠。判定が出ても投資サイズ制限。,10.0,7.0,5.0,NO
2026-08,2026-08-28,RXRX,US,Recursion,AI創薬,stock,3.440000057220459,2026-08-27,3.5,2.8,2.2,-1.7441843541136839,18.60465251670906,15.824916635780623,0.0,-8.753313670440763,-49.337259550121345,21.126766238887196,打診買い,reviewed_v1_3_1,精査維持_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：打診買い,3.5,2.8,2.2,NO
2026-08,2026-08-28,HSAI,US,Hesai,LiDAR,stock,17.489999771118164,2026-08-27,14.0,11.0,8.0,19.954258529387292,37.10691741594716,7.103489607052308,-12.0663634599171,-35.81651460140123,-41.30872409766086,19.794515850262684,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-41.31%。割安化か業績悪化か確認。,14.0,11.0,8.0,NO
2026-08,2026-08-28,PL,US,Planet Labs,宇宙データ,stock,21.15999984741211,2026-08-27,,,,,,8.680023593521362,-58.832686343874016,-17.343751827720524,-58.832686343874016,228.57142328264027,基準未設定,scale_rebase_pending_v1_3_1,価格スケール確認待ち_v1.3.1,価格スケール確認待ち,要確認継続,価格スケール確認待ち。自動上書きしない。,,,,NO
2026-08,2026-08-28,KVYO,US,Klaviyo,マーケSaaS,stock,19.610000610351562,2026-08-27,15.0,12.0,10.0,23.50841645521456,38.806733164171646,1.2390281916356514,33.039354917601635,6.11472454602934,-45.40645431517472,52.48834474244749,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-45.41%。割安化か業績悪化か確認。,15.0,12.0,10.0,NO
2026-08,2026-08-28,DKNG,US,DraftKings,スポーツベッティング,stock,24.219999313354492,2026-08-27,30.0,25.0,20.0,-23.86457824323106,-3.220481869359215,-1.3441952503521408,-1.263764225900674,3.1077034880770413,-49.78229412557971,16.89189245167674,本命買い,reviewed_v1_3_1,精査修正_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：本命買い,30.0,25.0,20.0,NO
2026-08,2026-08-28,MSTR,US,MicroStrategy,Bitcoin連動,stock,137.39999389648438,2026-08-27,,,,,,47.21953412709118,-9.39066575473499,2.998500886817069,-61.800441223309534,66.92989669775399,基準未設定,conditional_no_price_signal_v1_3_1,価格単独判定禁止_v1.3.1,条件確認待ち,要確認継続,条件確認待ち。自動上書きしない。,,,,NO
2026-08,2026-08-28,POET,US,POET Technologies,光電融合・CPO,stock,8.1899995803833,2026-08-27,3.8,2.8,2.0,53.60195122473797,65.81196406033324,28.571424293902968,-38.23529834830228,31.249998089594648,-60.18473650029246,96.402864041722,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-60.18%。割安化か業績悪化か確認。 / 超小型/高ボラ枠。判定が出ても投資サイズ制限。,3.8,2.8,2.0,NO
2026-08,2026-08-28,KITT,US,Nauticus Robotics,海洋ロボ・超小型,stock,0.800000011920929,2026-08-27,1.2,0.8,0.5,-49.99999776482585,1.4901160916291904e-06,3.626942565135252,-53.48837217361363,-87.95180680712346,-98.79489036581533,4.302476079459906,打診買い,reviewed_v1_3_1,精査維持_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：打診買い / 超小型/高ボラ枠。判定が出ても投資サイズ制限。,1.2,0.8,0.5,NO
2026-08,2026-08-28,AXTI,US,AXT,化合物半導体,stock,66.91999816894531,2026-08-27,,,,,,81.01162012261511,-42.16076064472013,80.28017266849488,-52.48171746157809,2207.5860678710255,基準未設定,scale_rebase_pending_v1_3_1,価格スケール確認待ち_v1.3.1,価格スケール確認待ち,要確認継続,価格スケール確認待ち。自動上書きしない。,,,,NO
2026-08,2026-08-28,COHR,US,Coherent,光通信・CPO,stock,295.3900146484375,2026-08-27,,,,,,33.02860193142389,-21.636820511309274,18.089875817222715,-30.804187375592747,236.43508471668966,基準未設定,scale_rebase_pending_v1_3_1,価格スケール確認待ち_v1.3.1,価格スケール確認待ち,要確認継続,価格スケール確認待ち。自動上書きしない。,,,,NO
