month,review_date,ticker,market,name,theme,asset_type,price,price_date,probe_price,core_price,strong_price,distance_to_probe_pct,distance_to_core_pct,pct_1m,pct_3m,pct_6m,drawdown_1y_pct,up_from_low_1y_pct,current_decision,basis_status,basis_type,review_category,proposed_action,review_reason,suggested_probe_price,suggested_core_price,suggested_strong_price,auto_apply
2026-08,2026-08-28,AVAV,US,AeroVironment,防衛ドローン,stock,152.27999877929688,2026-08-27,150.0,130.0,110.0,1.4972411331584872,14.630942315404022,7.148891085826289,-28.970568024242677,-41.34504212182864,-62.84312915876759,11.413525709297055,見送り,reviewed_v1_3_1,精査維持_v1.3.1,大幅ドローダウン中,人間レビュー,1年高値から-62.84%。割安化か業績悪化か確認。,150.0,130.0,110.0,NO
2026-08,2026-08-28,AXON,US,Axon Enterprise,公共安全AI・防衛,stock,611.2000122070312,2026-08-27,430.0,385.0,340.0,29.646598263753553,37.009163561732834,15.060240617769526,39.12410134236496,11.088898288754784,-21.83143712457994,76.6780389355387,見送り,reviewed_v1_3_1,精査維持_v1.3.1,維持,維持,大きな異常なし。基準維持。,430.0,385.0,340.0,NO
2026-08,2026-08-28,AUR,US,Aurora Innovation,自動運転・物流,stock,5.690000057220459,2026-08-27,5.0,4.0,3.0,12.126538669272371,29.7012309354179,-4.849497674382259,-19.519095911374386,20.806794291641705,-32.261901004514286,50.92838424423777,見送り,reviewed_v1_3_1,精査維持_v1.3.1,維持,維持,大きな異常なし。基準維持。,5.0,4.0,3.0,NO
2026-08,2026-08-28,TMDX,US,TransMedics,移植医療,stock,91.75,2026-08-27,85.0,70.0,55.0,7.3569482288828345,23.705722070844686,17.628205128205128,35.26462851722052,-31.819874410092545,-39.00412104981525,47.88845687627457,見送り,reviewed_v1_3_1,精査修正_v1.3.1,維持,維持,大きな異常なし。基準維持。,85.0,70.0,55.0,NO
2026-08,2026-08-28,NOW,US,ServiceNow,業務AI・SaaS,stock,138.42999267578125,2026-08-27,90.0,80.0,70.0,34.98518763141871,42.20905567237219,19.583612751554664,27.31535767671226,26.65140787803021,-27.987309081571375,66.78312370576054,見送り,reviewed_v1_3_1,精査維持_v1.3.1,維持,維持,大きな異常なし。基準維持。,90.0,80.0,70.0,NO
2026-08,2026-08-28,RDW,US,Redwire,宇宙インフラ,stock,11.270000457763672,2026-08-27,16.0,13.0,10.0,-41.969825644309786,-15.350483336001702,44.85861380254762,-56.486484078167706,18.010473640592213,-56.486484078167706,122.72728429267286,本命買い,reviewed_v1_3_1,精査維持_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：本命買い,16.0,13.0,10.0,NO
2026-08,2026-08-28,TRMB,US,Trimble,測位・建設DX,stock,61.540000915527344,2026-08-27,52.0,45.0,39.0,15.502113704259433,26.876829167147587,5.666207317917476,12.053901979780715,-9.805074178889669,-26.317045750700206,25.92593055158869,見送り,reviewed_v1_3_1,精査維持_v1.3.1,維持,維持,大きな異常なし。基準維持。,52.0,45.0,39.0,NO
2026-08,2026-08-28,VEEV,US,Veeva Systems,ライフサイエンスSaaS,stock,282.1300048828125,2026-08-27,165.0,145.0,127.5,41.51632327496129,48.60525378708719,35.69813857601763,71.63279991623354,54.28743516412378,-7.86689185613586,86.31051874040972,見送り,reviewed_v1_3_1,精査維持_v1.3.1,急騰後・基準上方修正禁止,原則維持,3か月騰落 +71.63%。現在値追随で基準を上げない。,165.0,145.0,127.5,NO
2026-08,2026-08-28,PYPL,US,PayPal,決済・フィンテック,stock,61.470001220703125,2026-08-27,45.0,40.0,35.0,26.793559286860763,34.92760825498734,5.347048548708684,38.25911490441549,35.009889894076586,-19.256530358086493,57.292728609486296,見送り,reviewed_v1_3_1,精査維持_v1.3.1,維持,維持,大きな異常なし。基準維持。,45.0,40.0,35.0,NO
2026-08,2026-08-28,TEM,US,Tempus AI,AI医療・診断,stock,70.69000244140625,2026-08-27,42.0,34.0,26.0,40.58565773170953,51.902675306622,70.13237963757713,37.82413955856613,27.576254531803222,-31.53510659427966,70.13237963757713,見送り,reviewed_v1_3_1,精査維持_v1.3.1,維持,維持,大きな異常なし。基準維持。,42.0,34.0,26.0,NO
2026-08,2026-08-28,FICO,US,Fair Isaac,信用スコア・分析,stock,1157.06005859375,2026-08-27,1250.0,1100.0,950.0,-8.032421542508859,4.931469042592204,-15.732506800378477,-10.74546640839392,-16.664738308965106,-38.43951857971742,25.44424306069768,打診買い,reviewed_v1_3_1,精査維持_v1.3.1,買い場発火中,基準維持/投資判断確認,現在判定：打診買い,1250.0,1100.0,950.0,NO
