ticker,market,name,theme,asset_type,price,price_date,daily_pct,daily_diff,probe,core,strong,distance,gap_ratio,decision,rating,rating_brief,basis_status,basis_display,note
AVAV,US,AeroVironment,防衛ドローン,stock,155.94000244140625,2026-09-23,-3.0826548435229615,-4.959991455078125,150.0,130.0,110.0,16.634604357629847,1.1995384803185096,見送り,レーティング：TV_FULL / 18.0人 / — / 平均目標 225.11 / 乖離 44.36% / 基準日 2026-09-05,評：TV_FULL 18.0人 — 平均225.11 乖離44.36%,reviewed_v1_3_1,v1.3.1採用,
AXON,US,Axon Enterprise,公共安全AI・防衛,stock,450.6099853515625,2026-09-23,-0.32075658427249065,-1.45001220703125,430.0,385.0,340.0,14.560259977455688,1.1704155463676948,見送り,レーティング：TV_FULL / 17.0人 / — / 平均目標 725 / 乖離 60.89% / 基準日 2026-09-05,評：TV_FULL 17.0人 — 平均725 乖離60.89%,reviewed_v1_3_1,v1.3.1採用,
AUR,US,Aurora Innovation,自動運転・物流,stock,6.320000171661377,2026-09-23,-2.1671805829548285,-0.1399998664855957,5.0,4.0,3.0,36.70886247858288,1.5800000429153442,見送り,レーティング：TV_FULL / 11.0人 / — / 平均目標 11.14 / 乖離 76.27% / 基準日 2026-09-05,評：TV_FULL 11.0人 — 平均11.14 乖離76.27%,reviewed_v1_3_1,v1.3.1採用,
TMDX,US,TransMedics,移植医療,stock,87.0,2026-09-23,-0.33222695897091886,-0.29000091552734375,85.0,70.0,55.0,19.54022988505747,1.2428571428571429,見送り,レーティング：TV_FULL / 10.0人 / — / 平均目標 97.3 / 乖離 11.84% / 基準日 2026-09-05,評：TV_FULL 10.0人 — 平均97.3 乖離11.84%,reviewed_v1_3_1,v1.3.1採用,
NOW,US,ServiceNow,業務AI・SaaS,stock,140.77999877929688,2026-09-23,2.759123196567062,3.779998779296875,90.0,80.0,70.0,43.17374577803675,1.759749984741211,見送り,レーティング：TV_FULL / 44.0人 / — / 平均目標 142.25 / 乖離 1.04% / 基準日 2026-09-05,評：TV_FULL 44.0人 — 平均142.25 乖離1.04%,reviewed_v1_3_1,v1.3.1採用,日次価格桁チェック対象。
RDW,US,Redwire,宇宙インフラ,stock,11.270000457763672,2026-09-23,-4.166664639297836,-0.48999977111816406,16.0,13.0,10.0,-15.350483336001702,0.8669231121356671,本命買い,レーティング：TV_FULL / 8.0人 / — / 平均目標 14.69 / 乖離 30.35% / 基準日 2026-09-05,評：TV_FULL 8.0人 — 平均14.69 乖離30.35%,reviewed_v1_3_1,v1.3.1採用,
TRMB,US,Trimble,測位・建設DX,stock,59.31999969482422,2026-09-23,2.7186141901718073,1.5699996948242188,52.0,45.0,39.0,24.140255847091087,1.3182222154405383,見送り,レーティング：TV_FULL / 11.0人 / — / 平均目標 80.22 / 乖離 35.23% / 基準日 2026-09-05,評：TV_FULL 11.0人 — 平均80.22 乖離35.23%,reviewed_v1_3_1,v1.3.1採用,
VEEV,US,Veeva Systems,ライフサイエンスSaaS,stock,270.75,2026-09-23,3.6125684166712793,9.44000244140625,165.0,145.0,127.5,46.445060018467224,1.8672413793103448,見送り,レーティング：TV_FULL / 25.0人 / — / 平均目標 295.2 / 乖離 9.03% / 基準日 2026-09-05,評：TV_FULL 25.0人 — 平均295.2 乖離9.03%,reviewed_v1_3_1,v1.3.1採用,
PYPL,US,PayPal,決済・フィンテック,stock,52.5099983215332,2026-09-23,-0.7184743287964713,-0.3800010681152344,45.0,40.0,35.0,23.824031082482676,1.3127499580383302,見送り,レーティング：TV_FULL / 31.0人 / — / 平均目標 56.13 / 乖離 6.89% / 基準日 2026-09-05,評：TV_FULL 31.0人 — 平均56.13 乖離6.89%,reviewed_v1_3_1,v1.3.1採用,
TEM,US,Tempus AI,AI医療・診断,stock,76.58999633789062,2026-09-23,-0.7773106419721654,-0.600006103515625,42.0,34.0,26.0,55.60777957214824,2.2526469511144303,見送り,レーティング：TV_FULL / 15.0人 / — / 平均目標 66.73 / 乖離 -12.87% / 基準日 2026-09-05,評：TV_FULL 15.0人 — 平均66.73 乖離-12.87%,reviewed_v1_3_1,v1.3.1採用,
FICO,US,Fair Isaac,信用スコア・分析,stock,879.6199951171875,2026-09-23,-4.856576760428368,-44.9000244140625,1250.0,1100.0,950.0,-25.05400128534508,0.799654541015625,強く買いたい,"レーティング：TV_FULL / 19.0人 / — / 平均目標 1,443.32 / 乖離 64.08% / 基準日 2026-09-05","評：TV_FULL 19.0人 — 平均1,443.32 乖離64.08%",reviewed_v1_3_1,v1.3.1採用,
AAOI,US,Applied Optoelectronics,光通信・CPO周辺,stock,101.05999755859375,2026-09-23,-5.551404150846963,-5.94000244140625,55.0,42.0,32.0,58.440529374000086,2.406190418061756,見送り,レーティング：TV_FULL / 6.0人 / — / 平均目標 170.5 / 乖離 68.71% / 基準日 2026-09-05,評：TV_FULL 6.0人 — 平均170.5 乖離68.71%,reviewed_v1_3_1,v1.3.1採用,
OUST,US,Ouster,LiDAR・ロボティクス,stock,39.380001068115234,2026-09-23,3.3053572180889104,1.2600021362304688,20.0,15.0,11.0,61.909599814244196,2.6253334045410157,見送り,レーティング：TV_FULL / 6.0人 / — / 平均目標 58.5 / 乖離 48.55% / 基準日 2026-09-05,評：TV_FULL 6.0人 — 平均58.5 乖離48.55%,reviewed_v1_3_1,v1.3.1採用,
APH,US,Amphenol,コネクタ・AIインフラ,stock,82.19000244140625,2026-09-23,1.8211114946391973,1.470001220703125,105.0,90.0,75.0,-9.50236929870095,0.9132222493489583,本命買い,レーティング：TV_FULL / 15.0人 / — / 平均目標 99.8 / 乖離 21.43% / 基準日 2026-09-05,評：TV_FULL 15.0人 — 平均99.8 乖離21.43%,reviewed_v1_3_1,v1.3.1採用,
ASPI,US,ASP Isotopes,核燃料・同位体,stock,3.009999990463257,2026-09-23,-5.345914236640331,-0.1700000762939453,5.5,4.2,3.2,-39.534884163026035,0.7166666643960135,強く買いたい,レーティング：TV_FULL / 3.0人 / — / 平均目標 13 / 乖離 331.89% / 基準日 2026-09-05,評：TV_FULL 3.0人 — 平均13 乖離331.89%,reviewed_v1_3_1,v1.3.1採用,
NBIS,US,Nebius,AIクラウド,stock,226.61000061035156,2026-09-23,-4.027610834955371,-9.509994506835938,140.0,105.0,80.0,53.66488693473681,2.158190482003348,見送り,レーティング：TV_FULL / 18.0人 / — / 平均目標 294.33 / 乖離 29.88% / 基準日 2026-09-05,評：TV_FULL 18.0人 — 平均294.33 乖離29.88%,reviewed_v1_3_1,v1.3.1採用,
EWY,US,iShares MSCI South Korea ETF,韓国ETF・半導体,etf,185.64999389648438,2026-09-23,-3.618524243271145,-6.970001220703125,,,,,,価格スケール確認待ち,レーティング：対象外（ETF）,評：ETF対象外,scale_rebase_pending_v1_3_1,v1.3.1：価格スケール確認待ち,通常買い場判定から一時除外。価格スケール/分割/逆分割/取得ソース確認待ち。
ISRG,US,Intuitive Surgical,医療ロボット,stock,398.29998779296875,2026-09-23,-0.8340610368287491,-3.350006103515625,430.0,380.0,340.0,4.594523814668268,1.0481578626130756,打診買い,レーティング：TV_FULL / 28.0人 / — / 平均目標 479.86 / 乖離 20.48% / 基準日 2026-09-05,評：TV_FULL 28.0人 — 平均479.86 乖離20.48%,reviewed_v1_3_1,v1.3.1採用,
SPGI,US,S&P Global,指数・格付け,stock,406.5,2026-09-23,0.5018910606893652,2.029998779296875,420.0,380.0,340.0,6.519065190651907,1.069736842105263,打診買い,レーティング：TV_FULL / 22.0人 / — / 平均目標 519.27 / 乖離 27.74% / 基準日 2026-09-05,評：TV_FULL 22.0人 — 平均519.27 乖離27.74%,reviewed_v1_3_1,v1.3.1採用,
MELI,US,MercadoLibre,中南米EC・決済,stock,1799.239990234375,2026-09-23,-1.1661813053994121,-21.22998046875,1700.0,1550.0,1400.0,13.852515038969768,1.1607999936995967,見送り,"レーティング：TV_FULL / 22.0人 / — / 平均目標 2,300.27 / 乖離 27.85% / 基準日 2026-09-05","評：TV_FULL 22.0人 — 平均2,300.27 乖離27.85%",reviewed_v1_3_1,v1.3.1採用,
TMO,US,Thermo Fisher,ライフサイエンス,stock,665.2999877929688,2026-09-23,0.9927709530623385,6.53997802734375,460.0,420.0,380.0,36.87058354032352,1.584047589983259,見送り,レーティング：TV_FULL / 24.0人 / — / 平均目標 650.38 / 乖離 -2.24% / 基準日 2026-09-05,評：TV_FULL 24.0人 — 平均650.38 乖離-2.24%,reviewed_v1_3_1,v1.3.1採用,
META,US,Meta Platforms,AI・広告・SNS,stock,744.0999755859375,2026-09-23,1.018191725303009,7.5,540.0,500.0,450.0,32.80472834227985,1.488199951171875,見送り,レーティング：TV_FULL / 54.0人 / — / 平均目標 745.38 / 乖離 0.17% / 基準日 2026-09-05,評：TV_FULL 54.0人 — 平均745.38 乖離0.17%,reviewed_v1_3_1,v1.3.1採用,
IONQ,US,IonQ,量子コンピュータ,stock,42.540000915527344,2026-09-23,4.41826009548728,1.7999992370605469,32.0,25.0,18.0,41.231783117158194,1.7016000366210937,見送り,レーティング：TV_FULL / 12.0人 / — / 平均目標 69.58 / 乖離 63.56% / 基準日 2026-09-05,評：TV_FULL 12.0人 — 平均69.58 乖離63.56%,reviewed_v1_3_1,v1.3.1採用,
RGTI,US,Rigetti,量子コンピュータ,stock,16.0049991607666,2026-09-23,-3.117441178732186,-0.5150012969970703,10.0,7.0,5.0,56.26366531052841,2.286428451538086,見送り,レーティング：TV_FULL / 11.0人 / — / 平均目標 29.55 / 乖離 84.63% / 基準日 2026-09-05,評：TV_FULL 11.0人 — 平均29.55 乖離84.63%,reviewed_v1_3_1,v1.3.1採用,超小型/高ボラ枠。判定が出ても投資サイズ制限。 / 日次価格桁チェック対象。
SDGR,US,Schrodinger,AI創薬,stock,29.229999542236328,2026-09-23,-3.339947872111012,-1.010000228881836,15.0,12.0,10.0,58.94628741728025,2.435833295186361,見送り,レーティング：TV_FULL / 7.0人 / — / 平均目標 21.43 / 乖離 -26.68% / 基準日 2026-09-05,評：TV_FULL 7.0人 — 平均21.43 乖離-26.68%,reviewed_v1_3_1,v1.3.1採用,
RXRX,US,Recursion,AI創薬,stock,3.700000047683716,2026-09-23,-8.641978433774856,-0.35000014305114746,3.5,2.8,2.2,24.324325299593887,1.32142858845847,見送り,レーティング：TV_CACHE / 6.0人 / — / 平均目標 7.25 / 乖離 95.95% / 49日古,評：TV_CACHE 6.0人 — 平均7.25 乖離95.95% / 49日古,reviewed_v1_3_1,v1.3.1採用,
QCOM,US,Qualcomm,半導体・エッジAI,stock,197.24000549316406,2026-09-23,-0.5194929929397992,-1.029998779296875,150.0,135.0,120.0,31.555467329025795,1.4610370777271413,見送り,レーティング：TV_CACHE / 30.0人 / — / 平均目標 204.6 / 乖離 3.73% / 49日古,評：TV_CACHE 30.0人 — 平均204.6 乖離3.73% / 49日古,reviewed_v1_3_1,v1.3.1採用,
HSAI,US,Hesai,LiDAR,stock,16.309999465942383,2026-09-23,-6.102483143793546,-1.0600013732910156,14.0,11.0,8.0,32.556711464218154,1.4827272241765803,見送り,レーティング：TV_CACHE / 18.0人 / — / 平均目標 29.62 / 乖離 81.61% / 49日古,評：TV_CACHE 18.0人 — 平均29.62 乖離81.61% / 49日古,reviewed_v1_3_1,v1.3.1採用,
PL,US,Planet Labs,宇宙データ,stock,16.3799991607666,2026-09-23,-3.1342441834889705,-0.5300006866455078,,,,,,価格スケール確認待ち,レーティング：TV_CACHE / 9.0人 / — / 平均目標 42.11 / 乖離 157.08% / 49日古,評：TV_CACHE 9.0人 — 平均42.11 乖離157.08% / 49日古,scale_rebase_pending_v1_3_1,v1.3.1：価格スケール確認待ち,通常買い場判定から一時除外。価格スケール/分割/逆分割/取得ソース確認待ち。
V,US,Visa,決済,stock,361.5199890136719,2026-09-23,-2.278692503094653,-8.430023193359375,310.0,300.0,275.0,17.01703664616601,1.205066630045573,見送り,レーティング：TV_CACHE_OLD / 34.0人 / — / 平均目標 401.79 / 乖離 11.14% / 77日古,評：TV_CACHE_OLD 34.0人 — 平均401.79 乖離11.14% / 77日古,reviewed_v1_3_1,v1.3.1採用,
VRTX,US,Vertex Pharma,医薬,stock,516.3400268554688,2026-09-23,1.1004122848787707,5.620025634765625,420.0,380.0,340.0,26.40508575052469,1.3587895443564968,見送り,レーティング：TV_CACHE_OLD / 28.0人 / — / 平均目標 553.64 / 乖離 7.22% / 77日古,評：TV_CACHE_OLD 28.0人 — 平均553.64 乖離7.22% / 77日古,reviewed_v1_3_1,v1.3.1採用,
DIS,US,Disney,メディア・IP,stock,103.45999908447266,2026-09-23,-0.7387549147667903,-0.7700042724609375,100.0,90.0,82.0,13.009858112875957,1.1495555453830295,見送り,レーティング：TV_CACHE_OLD / 27.0人 / — / 平均目標 130.44 / 乖離 26.08% / 77日古,評：TV_CACHE_OLD 27.0人 — 平均130.44 乖離26.08% / 77日古,reviewed_v1_3_1,v1.3.1採用,
KVYO,US,Klaviyo,マーケSaaS,stock,16.780000686645508,2026-09-23,6.068274401644708,0.9600009918212891,15.0,12.0,10.0,28.48629613257232,1.3983333905537922,見送り,レーティング：TV_CACHE_OLD / 22.0人 / — / 平均目標 28.82 / 乖離 71.75% / 77日古,評：TV_CACHE_OLD 22.0人 — 平均28.82 乖離71.75% / 77日古,reviewed_v1_3_1,v1.3.1採用,
DKNG,US,DraftKings,スポーツベッティング,stock,21.25,2026-09-23,-2.5229323683898777,-0.5499992370605469,30.0,25.0,20.0,-17.647058823529413,0.85,本命買い,レーティング：TV_CACHE_OLD / 36.0人 / — / 平均目標 34.16 / 乖離 60.75% / 77日古,評：TV_CACHE_OLD 36.0人 — 平均34.16 乖離60.75% / 77日古,reviewed_v1_3_1,v1.3.1採用,
CRSP,US,CRISPR Therapeutics,遺伝子編集,stock,55.7599983215332,2026-09-23,-4.40597193356031,-2.5700035095214844,45.0,36.0,28.0,35.4375877265806,1.5488888422648113,見送り,レーティング：TV_CACHE_OLD / 21.0人 / — / 平均目標 81.1 / 乖離 45.44% / 77日古,評：TV_CACHE_OLD 21.0人 — 平均81.1 乖離45.44% / 77日古,reviewed_v1_3_1,v1.3.1採用,
BEAM,US,Beam Therapeutics,遺伝子編集,stock,24.3700008392334,2026-09-23,-3.5233546381002325,-0.8899993896484375,26.5,22.0,18.0,9.725074918413302,1.1077273108742454,打診買い,レーティング：TV_CACHE_OLD / 16.0人 / — / 平均目標 50.19 / 乖離 105.95% / 77日古,評：TV_CACHE_OLD 16.0人 — 平均50.19 乖離105.95% / 77日古,reviewed_v1_3_1,v1.3.1採用,
ETN,US,Eaton,電力インフラ,stock,438.760009765625,2026-09-23,0.7647652081521317,3.33001708984375,330.0,290.0,250.0,33.904641821183525,1.5129655509159483,見送り,レーティング：TV_CACHE_OLD / 22.0人 / — / 平均目標 468.95 / 乖離 6.88% / 77日古,評：TV_CACHE_OLD 22.0人 — 平均468.95 乖離6.88% / 77日古,reviewed_v1_3_1,v1.3.1採用,
MSTR,US,MicroStrategy,Bitcoin連動,stock,162.1999969482422,2026-09-23,-3.0658010079937887,-5.1300048828125,,,,,,条件確認待ち,レーティング：TV_CACHE_OLD / 15.0人 / — / 平均目標 309.87 / 乖離 91.04% / 77日古,評：TV_CACHE_OLD 15.0人 — 平均309.87 乖離91.04% / 77日古,conditional_no_price_signal_v1_3_1,v1.3.1：条件確認待ち,通常買い場判定から除外。条件確認後のみ判断。 / MSTRは価格だけで判定しない。BTCトレンド、BTCの200日線、mNAV/プレミアム、希薄化、転換社債を確認。 / 日次価格桁チェック対象。
