ticker,market,name,theme,asset_type,price,price_date,daily_pct,daily_diff,probe,core,strong,distance,gap_ratio,decision,rating,rating_brief,basis_status,basis_display,note
AVAV,US,AeroVironment,防衛ドローン,stock,148.35000610351562,2026-08-31,0.27714185165825095,0.410003662109375,150.0,130.0,110.0,12.369400302357496,1.1411538931039664,打診買い,レーティング：TV_FULL / 19.0人 / — / 平均目標 226.42 / 乖離 52.63% / 基準日 2026-08-01,評：TV_FULL 19.0人 — 平均226.42 乖離52.63%,reviewed_v1_3_1,v1.3.1採用,
AXON,US,Axon Enterprise,公共安全AI・防衛,stock,566.5599975585938,2026-08-31,-5.688076843358707,-34.16998291015625,430.0,385.0,340.0,32.04603190146985,1.4715844092431007,見送り,レーティング：TV_FULL / 17.0人 / — / 平均目標 688.65 / 乖離 21.55% / 基準日 2026-08-01,評：TV_FULL 17.0人 — 平均688.65 乖離21.55%,reviewed_v1_3_1,v1.3.1採用,
AUR,US,Aurora Innovation,自動運転・物流,stock,5.630000114440918,2026-08-31,-3.4305285057019255,-0.19999980926513672,5.0,4.0,3.0,28.952044072965062,1.4075000286102295,見送り,レーティング：TV_FULL / 11.0人 / — / 平均目標 11.14 / 乖離 97.87% / 基準日 2026-08-01,評：TV_FULL 11.0人 — 平均11.14 乖離97.87%,reviewed_v1_3_1,v1.3.1採用,
TMDX,US,TransMedics,移植医療,stock,84.87000274658203,2026-08-31,-4.025780330553029,-3.55999755859375,85.0,70.0,55.0,17.520917008784814,1.2124286106654576,打診近接,レーティング：TV_FULL / 10.0人 / — / 平均目標 109.6 / 乖離 29.14% / 基準日 2026-08-01,評：TV_FULL 10.0人 — 平均109.6 乖離29.14%,reviewed_v1_3_1,v1.3.1採用,
NOW,US,ServiceNow,業務AI・SaaS,stock,147.99000549316406,2026-08-31,2.2666012211459328,3.279998779296875,90.0,80.0,70.0,45.94229540474248,1.8498750686645509,見送り,レーティング：TV_FULL / 43.0人 / — / 平均目標 140.51 / 乖離 -5.05% / 基準日 2026-08-01,評：TV_FULL 43.0人 — 平均140.51 乖離-5.05%,reviewed_v1_3_1,v1.3.1採用,日次価格桁チェック対象。
RDW,US,Redwire,宇宙インフラ,stock,10.699999809265137,2026-08-31,-1.563938160843887,-0.1700000762939453,16.0,13.0,10.0,-21.495329268541592,0.8230769084050105,本命買い,レーティング：TV_FULL / 6.0人 / — / 平均目標 17.17 / 乖離 60.47% / 基準日 2026-08-01,評：TV_FULL 6.0人 — 平均17.17 乖離60.47%,reviewed_v1_3_1,v1.3.1採用,
TRMB,US,Trimble,測位・建設DX,stock,59.939998626708984,2026-08-31,-1.753810398723724,-1.0699996948242188,52.0,45.0,39.0,24.92492320487273,1.3319999694824218,見送り,レーティング：TV_FULL / 11.0人 / — / 平均目標 81.27 / 乖離 35.59% / 基準日 2026-08-01,評：TV_FULL 11.0人 — 平均81.27 乖離35.59%,reviewed_v1_3_1,v1.3.1採用,
VEEV,US,Veeva Systems,ライフサイエンスSaaS,stock,285.69000244140625,2026-08-31,3.2527376922141955,9.0,165.0,145.0,127.5,49.24568631702859,1.97027587890625,見送り,レーティング：TV_FULL / 24.0人 / — / 平均目標 240.04 / 乖離 -15.98% / 基準日 2026-08-01,評：TV_FULL 24.0人 — 平均240.04 乖離-15.98%,reviewed_v1_3_1,v1.3.1採用,
PYPL,US,PayPal,決済・フィンテック,stock,52.665000915527344,2026-08-31,-1.8542656256320358,-0.9949989318847656,45.0,40.0,35.0,24.04823069469138,1.3166250228881835,見送り,レーティング：TV_FULL / 32.0人 / — / 平均目標 54.59 / 乖離 3.66% / 基準日 2026-08-01,評：TV_FULL 32.0人 — 平均54.59 乖離3.66%,reviewed_v1_3_1,v1.3.1採用,
TEM,US,Tempus AI,AI医療・診断,stock,63.04999923706055,2026-08-31,-1.5459114058612669,-0.9900016784667969,42.0,34.0,26.0,46.07454336016085,1.8544117422664868,見送り,レーティング：TV_FULL / 14.0人 / — / 平均目標 65 / 乖離 3.09% / 基準日 2026-08-01,評：TV_FULL 14.0人 — 平均65 乖離3.09%,reviewed_v1_3_1,v1.3.1採用,
